1,95,17.478
2,95,20.593
3,95,21.851
4,95,21.374
5,95,23.747
6,95,22.269
7,95,25.759
8,95,21.273
9,95,20.49
10,95,19.614
11,65,13.599
12,53.175,20.398
13,38.627,16.129
14,37.685,12.002
15,53.574,14.507
16,70.975,6.9497
17,91.379,9.2286
18,95,8.5346
19,95,9.7953
20,95,10.467
21,95,9.289
22,95,12.543
23,95,14.147
24,95,17.755
25,95,16.115
26,95,20.301
27,95,18.867
28,95,19.177
29,95,20.314
30,95,24.82
31,95,23.628
32,95,23.175
33,81.152,25.466
34,81.152,21.816
35,57.872,19.884
36,43.587,20.697
37,29.555,13.87
38,38.163,14.905
39,52.763,13.437
40,77.503,9.8853
41,95,9.8644
42,95,6.6858
43,95,6.861
44,95,10.051
45,95,12.463
46,95,17.774
47,95,13.143
48,95,16.875
49,95,22.316
50,95,20.174
51,95,23.155
52,95,19.865
53,95,22.222
54,95,23.298
55,95,26.179
56,92.277,23.011
57,86.518,24.03
58,76.998,17.13
59,61.45,18.78
60,41.697,15.874
61,40,12.325
62,37.029,14.528
63,39.308,12.331
64,67.802,10.44
65,95,6.7657
66,95,11.272
67,95,9.8572
68,95,9.2427
69,95,11.065
70,95,12.079
71,95,10.976
72,95,15.929
73,95,16.147
74,95,20.106
75,95,17.733
76,95,17.322
77,95,20.261
78,95,24.51
79,95,24.765
80,95,24.47
81,84.826,22.367
82,76.009,21.601
83,64.093,18.536
84,37.334,19.245
85,31.427,12.755
86,44.757,14.422
87,48.876,10.069
88,69.055,9.703
89,90.531,10.539
90,90.76,11.096
91,95,6.9216
92,95,12.362
93,95,12.339
94,95,12.467
95,95,14.086
96,95,16.065
97,95,16.116
98,95,17.975
99,95,23.457
100,95,21.483
101,95,21.031
102,95,27.05
103,95,26.452
104,95,23.108
105,85.916,19.615
106,74.851,20.344
107,63.746,19.176
108,39.535,18.073
109,35.676,14.956
110,40.576,14.399
111,51.307,12.551
112,67.293,7.8714
113,91.188,7.5371
114,95,7.5353
115,95,8.1412
116,95,9.1997
117,95,11.044
118,95,6.5448
119,95,13.562
120,95,18.985
121,95,17.345
122,95,15.183
123,95,21.34
124,95,19.556
125,95,23.292
126,95,25.148
127,95,24.637
128,95,25.732
129,85.492,24.639
130,80.207,19.931
131,55.329,20.002
132,37.846,15.632
133,36.162,12.835
134,40.132,15.362
135,48.136,11.767
136,70.818,10.263
137,95,11.255
138,95,10.207
139,95,9.8573
140,95,12.341
141,95,12.878
142,95,13.083
143,95,13.096
144,95,15.197
145,95,16.206
146,95,20.539
147,95,16.15
148,95,20.972
149,95,20.618
150,95,23.078
151,95,25.28
152,95,25.218
153,94,20.597
154,82.906,20.291
155,48.038,19.762
156,40,16.938
157,35.4,16.082
158,38,14.312
159,52.057,9.9069
160,75.385,10.019
161,95,5.1689
162,95,11.308
163,95,7.8987
164,95,7.4332
165,95,10.511
166,95,9.7458
167,95,14.435
168,95,15.379
